title,myrating,avgrating,binding,pages,pubyear,shelf
Charlotte's Web,0.00,4.18,Paperback,184.00,1952,currently-reading
The Shining,0.00,4.23,Paperback,659.00,1977,currently-reading
The Complete Sherlock Holmes,0.00,4.48,Hardcover,1077.00,1927,currently-reading
Will My Cat Eat My Eyeballs?: Big Questions from Tiny Mortals About Death,4.00,4.15,ebook,237.00,2019,read
"The Giver (The Giver, #1)",4.00,4.13,Paperback,225.00,1993,read
"Buzz, Sting, Bite: Why We Need Insects",4.00,4.18,Audiobook,257.00,2019,read
"Prince of the Elves (Amulet, #5)",3.00,4.39,ebook,203.00,2012,read
"New Moon (Twilight, #2)",2.00,3.54,Paperback,563.00,2006,read
"Wonder (Wonder, #1)",5.00,4.43,Hardcover,315.00,2012,read
"The Last Council (Amulet, #4)",3.00,4.40,ebook,219.00,2011,read
"The Cloud Searchers (Amulet, #3)",3.00,4.36,ebook,208.00,2010,read
The Witches,2.00,4.17,ebook,220.00,1983,read
Coraline,3.00,4.06,ebook,208.00,2002,read
"The Stonekeeper's Curse (Amulet, #2)",3.00,4.33,ebook,224.00,2009,read
Auberon: An Expanse Novella,2.00,4.19,Audiobook,78.00,2019,read
24/6 The Power of Unplugging One Day a Week,3.00,3.84,Audiobook,256.00,2019,read
The Death of Mrs. Westaway,5.00,3.82,ebook,384.00,2018,read
Ten Arguments for Deleting Your Social Media Accounts Right Now,4.00,3.59,Paperback,176.00,2018,read
Who Was Jacques Cousteau? (Who Was...?),3.00,4.25,ebook,112.00,2015,read
Through the Woods,4.00,3.92,ebook,208.00,2014,read
Big Magic: Creative Living Beyond Fear,4.00,3.92,Audiobook,288.00,2015,read
I'm Thinking of Ending Things,2.00,3.56,Audiobook,241.00,2016,read
ON A SUNBEAM Sneak Peek,4.00,4.25,ebook,533.00,2016,read
"One of Us Is Lying (One of Us is Lying, #1)",3.00,4.05,ebook,360.00,2017,read
Circe,4.00,4.26,ebook,400.00,2018,read
Unplugged Play: Grade School: 244 Activities  Games for Ages 6-10,2.00,3.67,ebook,272.00,2020,read
The Rise and Fall of the Dinosaurs: A New History of a Lost World,3.00,4.14,Audiobook,404.00,2018,read
"Twilight (Twilight, #1)",3.00,3.60,Paperback,501.00,2005,read
"Murder, Lies, and Cover-Ups: Who Killed Marilyn Monroe, JFK, Michael Jackson, Elvis Presley, and Princess Diana?",2.00,3.57,ebook,292.00,2018,read
"Career Rookie: A Get-It-Together Guide for Grads, Students and Career Newbies",3.00,3.84,ebook,168.00,2019,read
Laura Dean Keeps Breaking Up with Me,4.00,4.02,ebook,304.00,2019,read
Shark Lady: The True Story of How Eugenie Clark Became the Ocean's Most Fearless Scientist,3.00,4.46,ebook,40.00,2017,read
JFK and the Unspeakable: Why He Died and Why It Matters,5.00,4.33,Paperback,510.00,2008,read
"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge, and the Teachings of Plants",5.00,4.56,Audiobook,391.00,2013,read
JFK: History in an Hour,2.00,3.84,ebook,60.00,2012,read
Talking to Strangers: What We Should Know About the People We Don’t Know,3.00,4.04,Audiobook,388.00,2019,read
The Travelling Cat Chronicles,4.00,4.29,ebook,288.00,2012,read
"The Stonekeeper (Amulet, #1)",4.00,4.16,ebook,192.00,2008,read
The Deep,3.00,3.80,ebook,176.00,2019,read
The X-Files: JFK Disclosure,2.00,2.87,ebook,72.00,2018,read
Bloom,3.00,4.07,ebook,368.00,2019,read
Who Was John F. Kennedy?,3.00,4.18,ebook,112.00,2004,read
This Is How You Lose the Time War,3.00,3.96,ebook,209.00,2019,read
"Heartstopper: Volume One (Heartstopper, #1)",5.00,4.52,ebook,278.00,2016,read
March: Book Three,5.00,4.66,ebook,256.00,2016,read
March: Book Two,5.00,4.47,ebook,192.00,2015,read
