Name,Mammals,Birds,Reptiles*,Amphibians,Fishes*,Molluscs*,Other Inverts*,Plants*,Fungi*,Chromists*,Total
Antarctica,2,4,0,0,0,0,0,0,0,0,6
Bouvet Island,1,1,0,0,0,0,0,0,0,0,2
French Southern Territories,3,13,4,0,8,0,0,1,0,0,29
Heard Island and McDonald Islands,1,10,0,0,1,0,0,0,0,0,12
South Georgia and the South Sandwich Islands,3,6,0,0,0,0,0,0,0,0,9
Anguilla,1,0,9,0,37,0,10,3,0,0,60
Antigua and Barbuda,2,2,7,0,36,0,11,3,0,0,61
Aruba,2,2,2,0,32,1,1,5,0,0,45
Bahamas,5,8,11,0,47,1,11,12,0,0,95
Barbados,3,3,7,0,35,0,11,4,0,0,63
Bermuda,4,3,4,0,31,2,28,8,0,0,80
"Bonaire, Sint Eustatius and Saba",3,2,6,0,39,0,11,6,0,0,67
Cayman Islands,1,2,9,0,35,1,12,23,0,0,83
Cuba,10,20,29,49,49,0,23,179,0,0,359
Curaçao,3,2,5,0,33,0,11,4,0,0,58
Dominica,3,6,3,2,37,0,11,12,0,0,74
Dominican Republic,7,17,47,32,33,0,19,48,0,0,203
Grenada,3,2,7,1,34,0,10,4,0,0,61
Guadeloupe,4,4,9,3,37,1,15,11,0,0,84
Haiti,4,17,54,49,37,0,14,94,0,0,269
Jamaica,7,10,28,15,34,0,15,214,0,0,323
Martinique,1,6,9,2,33,2,0,10,0,0,63
Montserrat,2,3,4,1,34,0,11,7,0,0,62
Puerto Rico,2,11,15,14,37,0,0,68,0,0,147
Saint Barthélemy,1,0,4,0,26,0,11,2,0,0,44
Saint Kitts and Nevis,2,2,6,1,34,0,10,2,0,0,57
Saint Lucia,2,7,8,0,34,0,11,8,0,0,70
Saint Martin (French part),2,1,8,0,35,0,10,3,0,0,59
Saint Vincent and the Grenadines,2,4,8,1,35,0,10,5,0,0,65
Sint Maarten (Dutch part),2,1,8,0,35,0,10,2,0,0,58
Trinidad and Tobago,2,5,7,8,43,0,10,50,0,0,125
Turks and Caicos Islands,2,3,7,0,35,0,10,8,0,0,65
"Virgin Islands, British",1,2,14,2,36,0,10,24,0,0,89
